Player,Cost,Value,makeCut
Jon Rahm,11200,7.203654941,0.9411764706
Rory McIlroy,10800,7.464695545,0.935483871
Brooks Koepka,10200,5.22624849,0.8275862069
Wyndham Clark,10000,4.283009448,0.8181818182
Xander Schauffele,9900,6.450148792,0.92
Joaquin Niemann,9600,4.928942348,0.8666666667
Viktor Hovland,9500,4.463283997,0.8275862069
Patrick Cantlay,9400,4.333021767,0.8275862069
Jordan Spieth,9300,5.067021118,0.8275862069
Will Zalatoris,9200,3.850902467,0.756097561
Ludvig Aberg,9100,4.733945338,0.8666666667
Hideki Matsuyama,9000,5.552254718,0.8888888889
Cameron Smith,8900,4.002419345,0.8
Dustin Johnson,8800,4.144578119,0.8113207547
Justin Thomas,8700,4.062622854,0.8113207547
Tony Finau,8600,4.300275606,0.8214285714
Cameron Young,8500,3.884242087,0.7777777778
Collin Morikawa,8400,4.040058139,0.7916666667
Max Homa,8300,3.636219574,0.7777777778
Bryson DeChambeau,8200,4.248692132,0.7872340426
Sam Burns,8100,3.60498711,0.7777777778
Shane Lowry,8000,4.04905559,0.8214285714
Matt Fitzpatrick,7900,4.430537836,0.8214285714
Brian Harman,7800,3.636219574,0.7777777778
Jason Day,7700,3.678847896,0.7916666667
Sahith Theegala,7700,4.062622854,0.8113207547
Sungjae Im,7600,3.23035548,0.7368421053
Tyrrell Hatton,7600,3.686022611,0.7727272727
Tommy Fleetwood,7500,4.198331251,0.8214285714
Corey Conners,7500,3.418524626,0.7368421053
Tom Kim,7400,2.949444269,0.7014925373
Patrick Reed,7400,3.267337802,0.7142857143
Min Woo Lee,7300,3.23035548,0.7368421053
Rickie Fowler,7300,2.610096855,0.6376811594
Justin Rose,7200,2.703114937,0.6551724138
Russell Henley,7200,3.64534254,0.756097561
Akshay Bhatia,7200,3.25898582,0.7368421053
Adam Scott,7100,3.293285535,0.7368421053
Si Woo Kim,7100,3.597586193,0.756097561
Stephan Jaeger,7100,2.651092666,0.6453900709
Nick Taylor,7000,2.682111863,0.6575342466
Phil Mickelson,7000,1.597970334,0.462962963
Harris English,7000,2.848653431,0.6825396825
Cameron Davis,6900,2.393534942,0.6212121212
Matthieu Pavon,6900,2.450841989,0.6212121212
Chris Kirk,6900,3.017478085,0.7142857143
Tiger Woods,6800,1.9598333,0.5098039216
Sergio Garcia,6800,2.941576467,0.6825396825
J.T. Poston,6800,2.586695154,0.6575342466
Sepp Straka,6700,2.48895165,0.6212121212
Ryan Fox,6700,2.407195026,0.6212121212
Keegan Bradley,6700,2.82415587,0.6875
Nicolai Hojgaard,6700,2.469601103,0.6268656716
Byeong Hun An,6700,3.042367305,0.7014925373
Eric Cole,6600,2.407195026,0.6212121212
Adam Hadwin,6600,2.765674189,0.6825396825
Erik Van Rooyen,6600,2.618553557,0.6575342466
Jake Knapp,6600,2.205756519,0.5833333333
Adrian Meronk,6500,2.63144203,0.6551724138
Luke List,6500,2.076615802,0.5652173913
Thorbjorn Olesen,6500,2.274422123,0.5901639344
Nick Dunlap,6500,2.03569255,0.5575221239
Emiliano Grillo,6400,2.771619525,0.6923076923
Kurt Kitayama,6400,2.538423948,0.6376811594
Bubba Watson,6400,1.926753337,0.537037037
Gary Woodland,6400,2.192096435,0.5833333333
Taylor Moore,6400,2.37153549,0.6062992126
Austin Eckroat,6300,2.329470246,0.6031746032
Ryo Hisatsune,6300,1.980523652,0.5495495495
Charl Schwartzel,6300,1.980523652,0.5495495495
Lucas Glover,6300,2.600355239,0.6575342466
Danny Willett,6300,1.285844538,0.4237288136
Denny McCarthy,6200,2.034314764,0.5238095238
Lee Hodges,6200,1.980523652,0.5495495495
Adam Schenk,6200,2.297611843,0.6031746032
Peter Malnati,6200,1.867529078,0.5283018868
Grayson Murray,6200,0.4319321501,0.2631578947
Christo Lamprecht,6100,0.4319321501,0.2631578947
Camilo Villegas,6100,0.4319321501,0.2631578947
Jasper Stubbs,6100,0.4319321501,0.2631578947
Zach Johnson,6100,0.4319321501,0.2631578947
Santiago De la Fuente,6100,0.4319321501,0.2631578947